,date,holiday
1,January 01  Jan 1,New Years Day
2,January 02  Jan 2,Public Holiday
3,March 21  Mar 21,Human Rights Day
4,April 14  Apr 14,Good Friday
5,April 17  Apr 17,Family Day
6,April 27  Apr 27,Freedom Day
7,May 01  May 1,Workers Day
8,June 16  Jun 16,Youth Day
9,August 09  Aug 9,National Women's Day
10,September 24  Sep 24,Heritage Day
11,September 25  Sep 25,Public Holiday
12,December 16  Dec 16,Day of Reconciliation
13,December 25  Dec 25,Christmas Day
14,December 26  Dec 26,Day of Good Will
